Id_cost,city,category,item,avg_price_egp,min_price_egp,max_price_egp
1,10th of Ramadan,Restaurants,Meal at an Inexpensive Restaurant,160,70,500
2,10th of Ramadan,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",600,600,2500
3,10th of Ramadan,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),225,200,350
4,10th of Ramadan,Restaurants,Domestic Draft Beer (0.5 Liter),90,54,200
5,10th of Ramadan,Restaurants,Imported Beer (0.33 Liter Bottle),150,100,250
6,10th of Ramadan,Restaurants,Cappuccino (Regular Size),45,40,140
7,10th of Ramadan,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",19.92,15,50
8,10th of Ramadan,Restaurants,Bottled Water (0.33 Liter),5,5,20
9,10th of Ramadan,Markets,"Milk (Regular, 1 Liter)",38.33,30,55
10,10th of Ramadan,Markets,Fresh White Bread (500 g Loaf),25,10,47
11,10th of Ramadan,Markets,White Rice (1 kg),28.33,20,40
12,10th of Ramadan,Markets,"Eggs (12, Large Size)",76,36,108
13,10th of Ramadan,Markets,Local Cheese (1 kg),178.33,50,300
14,10th of Ramadan,Markets,Chicken Fillets (1 kg),210,200,375
15,10th of Ramadan,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),428.33,400,550
16,10th of Ramadan,Markets,Apples (1 kg),85,70,100
17,10th of Ramadan,Markets,Bananas (1 kg),33.67,25,50
18,10th of Ramadan,Markets,Oranges (1 kg),27,20,35
19,10th of Ramadan,Markets,Tomatoes (1 kg),19.51,5,25
20,10th of Ramadan,Markets,Potatoes (1 kg),22.27,10,45
21,10th of Ramadan,Markets,Onions (1 kg),16.67,9,44.09
22,10th of Ramadan,Markets,Lettuce (1 Head),9.2,5,30
23,10th of Ramadan,Markets,Bottled Water (1.5 Liter),10,9,20
24,10th of Ramadan,Markets,Bottle of Wine (Mid-Range),450,300,669
25,10th of Ramadan,Markets,Domestic Beer (0.5 Liter Bottle),100,100,100
26,10th of Ramadan,Markets,Imported Beer (0.33 Liter Bottle),92.5,65,120
27,10th of Ramadan,Markets,"Cigarettes (Pack of 20, Marlboro)",95,85,110
28,10th of Ramadan,Transportation,One-Way Ticket (Local Transport),10,10,10
29,10th of Ramadan,Transportation,Taxi Start (Standard Tariff),20,20,60
30,10th of Ramadan,Transportation,Taxi 1 km (Standard Tariff),9,5,30
31,10th of Ramadan,Transportation,Taxi 1 Hour Waiting (Standard Tariff),40,40,300
32,10th of Ramadan,Transportation,Gasoline (1 Liter),19.24,15,24
33,10th of Ramadan,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1600000,1600000,1690000
34,10th of Ramadan,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1300000,1150000,1650000
35,10th of Ramadan,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",2221.49,1062.5,6000
36,10th of Ramadan,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",260,260,1000
