Property_id,category,governorate,city,location_full,location_name,property_type,Title,Business_Type,price_egp,price_period,price_per_sqm,size_sqm,latitude,longitude
73767816,Shop,Cairo,New Cairo,"1st Settlement Post office St., The 1st Settlement, New Cairo City, Cairo",1st Settlement Post office St.,Shop,HOT DEAL | Finished SHOP 180M FOR RENT,General Commercial Shop,180000,monthly,1000,180,30.06746101,31.46055031
68270489,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,"Shop 67 meters,prime location, Immediate operation",General Commercial Shop,100000,monthly,1492.54,67,30.03129959,30.99361992
73236074,Shop,Cairo,New Cairo,"V90, North Teseen St., The 5th Settlement, New Cairo City, Cairo",V90,Shop,Caf√© / Restaurant directly on the main 90th Street,Restaurant,350000,monthly,972.22,360,30.07310104,31.53912735
73775114,Shop,Cairo,New Cairo,"Mohamed Naguib Axis, North Investors Area, New Cairo City, Cairo",Mohamed Naguib Axis,Shop,Gym for rent-300m-First-Mohamed Naguib Axis,Gym,375000,monthly,1250,300,30.03008652,31.47473145
67728967,Shop,Alexandria,Alexandria,"Al Moaskar Al Romani St., Roushdy, Hay Sharq, Alexandria",Al Moaskar Al Romani St.,Shop,Shop for Rent in Roushdy - 7 m Frontage,General Commercial Shop,110000,monthly,578.95,190,31.22925568,29.9491024
71134254,Shop,Cairo,New Cairo,"Granoy, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Granoy,Shop,Shop for rent for all purposes - Granway Mall,General Commercial Shop,86000,monthly,1457.63,59,30.02072525,31.43012428
71126550,Shop,Giza,6Th Of October,"Park Yard Mall, 1st District, 6 October City, Giza",Park Yard Mall,Shop,Shop For Rent In El Hosary Square,General Commercial Shop,95000,monthly,1187.5,80,29.965868,30.94819069
64646271,Shop,Alexandria,Alexandria,"Al Hedaya Mosque St., Saba Basha, Hay Sharq, Alexandria",Al Hedaya Mosque St.,Shop,licensed commercial suitable for all brands,General Commercial Shop,50000,monthly,257.73,194,31.23610687,29.95205879
67220824,Shop,Cairo,New Cairo,"Gamal Abdel Nasser Axis, The 3rd Settlement, New Cairo City, Cairo",Gamal Abdel Nasser Axis,Shop,„Õ· ··«ÌÃ«— ›Ï «›÷· „àÇ⁄ ›Ï «· Ã„⁄ «·Œ«„”,General Commercial Shop,85000,monthly,1545.45,55,29.97930145,31.43766022
73232970,Shop,Cairo,New Cairo,"Mostafa Kamel Axis, The 1st Settlement, New Cairo City, Cairo",Mostafa Kamel Axis,Shop,Cairo First Mall,General Commercial Shop,21000,monthly,700,30,30.0522747,31.44463348
72717324,Shop,Alexandria,Alexandria,"Al Shahid Mohamed Youssef Ghaly St. (45 Previous), Sidi Beshr, Hay Awal El Montazah, Alexandria",Al Shahid Mohamed Youssef Ghaly St. (45 Previous),Shop,„Õ·  ··«ÌÃ«— ‘«—⁄ 45 «·—¶Ì”Ï ·· àÉÌ·«  à«·®—«ÜØ« ,General Commercial Shop,45000,monthly,450,100,31.25968361,29.98715591
7364011,Shop,Cairo,New Cairo,"Mostafa Kamel Axis, The 1st Settlement, New Cairo City, Cairo",Mostafa Kamel Axis,Shop,Cairo First Mall,General Commercial Shop,20000,monthly,666.67,30,30.0522747,31.44463348
6310220,Shop,Cairo,New Cairo,"The 1st Settlement, New Cairo City, Cairo",The 1st Settlement,Shop,Cairo First Mall - First Settlement,General Commercial Shop,75000,monthly,513.7,146,30.04074669,31.47093773
7493683,Shop,Cairo,New Cairo,"Mostafa Kamel Axis, The 1st Settlement, New Cairo City, Cairo",Mostafa Kamel Axis,Shop,Cairo First Mall - First Settlement,General Commercial Shop,10000,monthly,500,20,30.0522747,31.44463348
73766914,Shop,Cairo,New Cairo,"Mirage City, The 1st Settlement, New Cairo City, Cairo",Mirage City,Shop,"FOR RENT | Shop 200m , Finished , Prime location",General Commercial Shop,200000,monthly,1000,200,30.07556725,31.43722916
72452963,Shop,Giza,Giza,"Shooting Club Street, Dokki, Giza",Shooting Club Street,Shop,Commercial space for rent in the Hunting Club area,General Commercial Shop,30000,monthly,666.67,45,30.04367828,31.20873833
69573877,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,"Shop67Meters For rent,Main frontage,Prime location",General Commercial Shop,100000,monthly,1492.54,67,30.03129959,30.99361992
71655412,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,111Meters in prime location-Ready for operation,General Commercial Shop,250000,monthly,2252.25,111,30.03129959,30.99361992
6690274,Shop,Alexandria,Alexandria,"Salah Salem St., El Mansheya, Hay El Gomrok, Alexandria",Salah Salem St.,Shop,Shop for Rent in Raml Station - 22 m Frontage,General Commercial Shop,80000,monthly,412.37,194,31.23436165,29.97811317
72180497,Shop,Giza,6Th Of October,"West Gate, 6 October Compounds, 6 October City, Giza",West Gate,Shop,Hot Deal Shop 68M For Rent In West Gate Mall,General Commercial Shop,40000,monthly,588.24,68,29.95790863,30.91575813
71908418,Shop,Cairo,New Cairo,"Riviera heights, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Riviera heights,Shop,Commercial instant delivery in Riviera Heights 45m,General Commercial Shop,29768,monthly,661.51,45,30.0234108,31.48687363
70624393,Shop,Cairo,New Cairo,"Bank Center Street, South Teseen St., The 5th Settlement, New Cairo City, Cairo",Bank Center Street,Shop,Shop for rent in the Banks Complex,General Commercial Shop,70000,monthly,1000,70,30.01827621,31.42161369
70373360,Shop,Cairo,New Cairo,"Al Yasmeen Square, El Yasmeen, New Cairo City, Cairo",Al Yasmeen Square,Shop,For rent at the lowest price per square meter in a,General Commercial Shop,80000,monthly,800,100,30.02677917,31.44348145
65916483,Shop,Cairo,New Cairo,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",One Ninety Mall,Shop,Prime View BANK For Rent 500K/Month in GOLDEN SQ,General Commercial Shop,500000,monthly,1597.44,313,30.0146637,31.40620613
68269234,Shop,Cairo,New Cairo,"V90, North Teseen St., The 5th Settlement, New Cairo City, Cairo",V90,Shop,shop 500 m rent in a commercial mall in New Cairo,General Commercial Shop,875000,monthly,1750,500,30.07310104,31.53912735
69839127,Shop,Cairo,New Cairo,"Downtown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Downtown,Shop,Retail Space for Rent Downtown Mall New Cairo 200,General Commercial Shop,300000,monthly,1500,200,30.01681709,31.41212654
68268103,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,111Meters in strategic location-Ready for delivery,General Commercial Shop,250000,monthly,2252.25,111,30.03129959,30.99361992
53730619,Shop,Cairo,Cairo,"Capital East, Nasr City Compounds, Nasr City, Cairo",Capital East,Shop,"35sqm shop for rent - Capital East, Nasr City",General Commercial Shop,15000,monthly,428.57,35,30.0338192,31.35781479
67738245,Shop,Cairo,Cairo,"Gamea Saqr Quraish St., New Maadi, Hay El Maadi, Cairo",Gamea Saqr Quraish St.,Shop,Shops for rent at the lowest price per meter in a,General Commercial Shop,175000,monthly,1060.61,165,29.9852066,31.28484535
67738178,Shop,Cairo,Cairo,"Heliopolis Square, Heliopolis Square, El Nozha, Cairo",Heliopolis Square,Shop,Shops for rent at the lowest price per meter in th,General Commercial Shop,150000,monthly,600,250,30.10805893,31.33824921
66694158,Shop,Alexandria,Alexandria,"Mustafa Kamel, Hay Sharq, Alexandria",Mustafa Kamel,Shop,"Pharmacy for rent, 38 sq m, Mustafa Kamel",Pharmacy,30000,monthly,789.47,38,31.22952271,29.94658852
64131744,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,"Shop111 meters,Direct Frontage,Immediate operation",General Commercial Shop,250000,monthly,2252.25,111,30.03129959,30.99361992
65920093,Shop,Giza,Sheikh Zayed,"Walk of Cairo, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Walk of Cairo,Shop,Shop for rent 100 sqm in Sheikh Zayed malls,General Commercial Shop,85000,monthly,850,100,30.07733917,30.95166206
73772389,Shop,Cairo,New Cairo,"Street 70, District 1, The 5th Settlement, New Cairo City, Cairo",Street 70,Shop,Shop for rent in the First District SevenStarsMall,General Commercial Shop,37000,monthly,1761.9,21,30.01464272,31.43604469
69575946,Shop,Giza,Sheikh Zayed,"Walk of Cairo, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Walk of Cairo,Shop,"Licensed shop for rent, 98 sqm, private bath",General Commercial Shop,78000,monthly,795.92,98,30.07733917,30.95166206
8577767,Shop,Alexandria,Alexandria,"Abdel Salam Aref St., Glim, Hay Sharq, Alexandria",Abdel Salam Aref St.,Shop,„Õ· ··«ÌÃ«— ›Ï Ã·Ì„ ⁄·Ï «· —«„ „®«‘—© à«Ãá© „„Ì“©,General Commercial Shop,37000,monthly,616.67,60,31.25266075,29.97629166
66423922,Shop,Alexandria,Alexandria,"Al Geish Road, Raml Station, Hay Wasat, Alexandria",Al Geish Road,Shop,„Õ·  Ã«—Ì ··«ÌÃ«—  -   „Õ∑© «·—„·,General Commercial Shop,25000,monthly,925.93,27,31.27973747,30.00946999
6304723,Shop,Cairo,Shorouk,"Al Shorouk Road, 1st Neighborhood, 8th District, Shorouk City, Cairo",Al Shorouk Road,Shop,El Sherouk Mall - El Sherouk City,General Commercial Shop,75000,monthly,394.74,190,30.15883827,31.60006714
72181151,Shop,Cairo,New Cairo,"The 5th Settlement, New Cairo City, Cairo",The 5th Settlement,Shop,"„Õ· ··•ÌÃ«— ®«· Ã„⁄ «·Œ„” ⁄·Ï «·àÃá«° „®«‘— „„Ì“",General Commercial Shop,35000,monthly,1000,35,30.04074669,31.47093773
70878225,Shop,Cairo,New Cairo,"The 5th Settlement, New Cairo City, Cairo",The 5th Settlement,Shop,„Õ· ··•ÌÃ«— ⁄·Ï àÃá« «·„à· „®«—‘ „àÇ⁄  Ã«—Ï „„Ì“,General Commercial Shop,35000,monthly,357.14,98,30.04074669,31.47093773
70878044,Shop,Cairo,New Cairo,"The 5th Settlement, New Cairo City, Cairo",The 5th Settlement,Shop,„Õ· ··•ÌÃ«— ®«· Ã„⁄ «·Œ«„” ⁄·Ï àÃá« «·„à· Øà— «à·,General Commercial Shop,35000,monthly,411.76,85,30.04074669,31.47093773
70355342,Shop,Cairo,New Cairo,"The 5th Settlement, New Cairo City, Cairo",The 5th Settlement,Shop,„Õ· ⁄·Ï à«Ãá «·„à· „®«‘— Øà— «à· „àÇ⁄  Ã«—Ï ÇàÏ,General Commercial Shop,40000,monthly,470.59,85,30.04074669,31.47093773
68800578,Shop,Cairo,New Cairo,"The 1st Settlement, New Cairo City, Cairo",The 1st Settlement,Shop,„Õ· ·•ÌÃ«— ®«· Ã„⁄ «·£à· Øà— «à· ⁄·Ï à«Ãá «·„à·,General Commercial Shop,25000,monthly,277.78,90,30.04074669,31.47093773
74037277,Shop,Giza,Giza,"Mosadak St., Dokki, Giza",Mosadak St.,Shop,Shop For Rent Dokki Main Mosadak Street 500 Sqm,General Commercial Shop,275000,monthly,550,500,30.04009819,31.2078476
74037954,Shop,Cairo,Cairo,"Zahraa Al Maadi St., Degla, Hay El Maadi, Cairo",Zahraa Al Maadi St.,Shop,Commercial Space For Rent| 110m≤| Zahraa .,General Commercial Shop,70000,monthly,636.36,110,29.96552277,31.28015137
74038828,Shop,Cairo,New Cairo,"New Cairo Centre, North Teseen St., The 5th Settlement, New Cairo City, Cairo",New Cairo Centre,Shop,Commercial Shop for Rent - New Cairo,General Commercial Shop,105000,monthly,1750,60,30.02095413,31.42465591
74029596,Shop,Giza,Sheikh Zayed,"Sodic West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Sodic West,Shop,Shop for sale The Strip Mall Dahshur SODIC.,General Commercial Shop,450000,monthly,1363.64,330,30.0762558,30.9474411
74029503,Shop,Giza,Sheikh Zayed,"Sodic West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Sodic West,Shop,Shop For rent The Strip Mall Dahshur SODIC.,General Commercial Shop,275000,monthly,1000,275,30.0762558,30.9474411
74028873,Shop,Cairo,New Cairo,"V90, North Teseen St., The 5th Settlement, New Cairo City, Cairo",V90,Shop,Commercial Space For Rent|100m≤| New Cairo .,General Commercial Shop,150000,monthly,1500,100,30.07310104,31.53912735
